month_end,account_id,account_name,subsidiary_id,subsidiary_name,account_number,account_full_name,category,bs_flag,category_sorting,bs_flag_sorting,subsidiary_country,year,quarter,quarter_name,month,month_name,std_amount,std_amount_gbp,subsidiary_currency,is_year_end,is_quarter_end,account_type_name,ns_category,ns_bs_flag,ns_category_sorting,ns_bs_flag_sorting,ns_std_amount,ns_std_amount_gbp
31/07/2020,427,Increase During The Year,18,ACME Corp,81130,81130 - Increase During The Year,Tangible Fixed Assets,Assets,9,1,UK,2020,3,Qtr 3,7,Jul,1494865.256,1494865.256,GBP,0,0,Fixed Asset,Fixed Asset,Assets,4,1,1494865.256,1494865.256
31/08/2020,427,Increase During The Year,18,ACME Corp,81130,81130 - Increase During The Year,Tangible Fixed Assets,Assets,9,1,UK,2020,3,Qtr 3,8,Aug,2850743.536,2850743.536,GBP,0,0,Fixed Asset,Fixed Asset,Assets,4,1,2850743.536,2850743.536
31/10/2020,427,Increase During The Year,18,ACME Corp,81130,81130 - Increase During The Year,Tangible Fixed Assets,Assets,9,1,UK,2020,4,Qtr 4,10,Oct,3141572.76,3141572.76,GBP,0,0,Fixed Asset,Fixed Asset,Assets,4,1,3141572.76,3141572.76
31/01/2021,427,Increase During The Year,18,ACME Corp,81130,81130 - Increase During The Year,Tangible Fixed Assets,Assets,9,1,UK,2021,1,Qtr 1,1,Jan,4111997.576,4111997.576,GBP,0,0,Fixed Asset,Fixed Asset,Assets,4,1,4111997.576,4111997.576
31/05/2021,427,Increase During The Year,18,ACME Corp,81130,81130 - Increase During The Year,Tangible Fixed Assets,Assets,9,1,UK,2021,2,Qtr 2,5,May,4371432.184,4371432.184,GBP,0,0,Fixed Asset,Fixed Asset,Assets,4,1,4371432.184,4371432.184
31/07/2021,427,Increase During The Year,18,ACME Corp,81130,81130 - Increase During The Year,Tangible Fixed Assets,Assets,9,1,UK,2021,3,Qtr 3,7,Jul,5971432.184,5971432.184,GBP,0,0,Fixed Asset,Fixed Asset,Assets,4,1,5971432.184,5971432.184
31/08/2021,427,Increase During The Year,18,ACME Corp,81130,81130 - Increase During The Year,Tangible Fixed Assets,Assets,9,1,UK,2021,3,Qtr 3,8,Aug,5971432.184,5971432.184,GBP,0,0,Fixed Asset,Fixed Asset,Assets,4,1,5971432.184,5971432.184
31/10/2021,427,Increase During The Year,18,ACME Corp,81130,81130 - Increase During The Year,Tangible Fixed Assets,Assets,9,1,UK,2021,4,Qtr 4,10,Oct,7751947.96,7751947.96,GBP,0,0,Fixed Asset,Fixed Asset,Assets,4,1,7751947.96,7751947.96
31/01/2022,427,Increase During The Year,18,ACME Corp,81130,81130 - Increase During The Year,Tangible Fixed Assets,Assets,9,1,UK,2022,1,Qtr 1,1,Jan,7275147.504,7275147.504,GBP,0,0,Fixed Asset,Fixed Asset,Assets,4,1,7275147.504,7275147.504
31/05/2022,427,Increase During The Year,18,ACME Corp,81130,81130 - Increase During The Year,Tangible Fixed Assets,Assets,9,1,UK,2022,2,Qtr 2,5,May,8351035.632,8351035.632,GBP,0,0,Fixed Asset,Fixed Asset,Assets,4,1,8351035.632,8351035.632
31/07/2022,427,Increase During The Year,18,ACME Corp,81130,81130 - Increase During The Year,Tangible Fixed Assets,Assets,9,1,UK,2022,3,Qtr 3,7,Jul,8351035.632,8351035.632,GBP,0,0,Fixed Asset,Fixed Asset,Assets,4,1,8351035.632,8351035.632
31/08/2022,427,Increase During The Year,18,ACME Corp,81130,81130 - Increase During The Year,Tangible Fixed Assets,Assets,9,1,UK,2022,3,Qtr 3,8,Aug,8479499.632,8479499.632,GBP,0,0,Fixed Asset,Fixed Asset,Assets,4,1,8479499.632,8479499.632
31/10/2022,427,Increase During The Year,18,ACME Corp,81130,81130 - Increase During The Year,Tangible Fixed Assets,Assets,9,1,UK,2022,4,Qtr 4,10,Oct,9760589.632,9760589.632,GBP,0,0,Fixed Asset,Fixed Asset,Assets,4,1,9760589.632,9760589.632
31/01/2023,427,Increase During The Year,18,ACME Corp,81130,81130 - Increase During The Year,Tangible Fixed Assets,Assets,9,1,UK,2023,1,Qtr 1,1,Jan,11895230.4,11895230.4,GBP,0,0,Fixed Asset,Fixed Asset,Assets,4,1,11895230.4,11895230.4
31/05/2023,427,Increase During The Year,18,ACME Corp,81130,81130 - Increase During The Year,Tangible Fixed Assets,Assets,9,1,UK,2023,2,Qtr 2,5,May,14819402.05,14819402.05,GBP,0,0,Fixed Asset,Fixed Asset,Assets,4,1,14819402.05,14819402.05
31/07/2023,427,Increase During The Year,18,ACME Corp,81130,81130 - Increase During The Year,Tangible Fixed Assets,Assets,9,1,UK,2023,3,Qtr 3,7,Jul,21331499.35,21331499.35,GBP,0,0,Fixed Asset,Fixed Asset,Assets,4,1,21331499.35,21331499.35
31/08/2023,427,Increase During The Year,18,ACME Corp,81130,81130 - Increase During The Year,Tangible Fixed Assets,Assets,9,1,UK,2023,3,Qtr 3,8,Aug,21709059.55,21709059.55,GBP,0,0,Fixed Asset,Fixed Asset,Assets,4,1,21709059.55,21709059.55
31/10/2023,427,Increase During The Year,18,ACME Corp,81130,81130 - Increase During The Year,Tangible Fixed Assets,Assets,9,1,UK,2023,4,Qtr 4,10,Oct,22770873.47,22770873.47,GBP,0,0,Fixed Asset,Fixed Asset,Assets,4,1,22770873.47,22770873.47
31/01/2024,427,Increase During The Year,18,ACME Corp,81130,81130 - Increase During The Year,Tangible Fixed Assets,Assets,9,1,UK,2024,1,Qtr 1,1,Jan,25306226.98,25306226.98,GBP,0,0,Fixed Asset,Fixed Asset,Assets,4,1,25306226.98,25306226.98
31/05/2024,427,Increase During The Year,18,ACME Corp,81130,81130 - Increase During The Year,Tangible Fixed Assets,Assets,9,1,UK,2024,2,Qtr 2,5,May,25503075.26,25503075.26,GBP,0,0,Fixed Asset,Fixed Asset,Assets,4,1,25503075.26,25503075.26
31/05/2017,688,Increase During The Year,18,ACME Corp,81812,81812 - Increase During The Year,Tangible Fixed Assets,Assets,9,1,UK,2017,2,Qtr 2,5,May,16188,16188,GBP,0,0,Fixed Asset,Fixed Asset,Assets,4,1,16188,16188
31/07/2017,688,Increase During The Year,18,ACME Corp,81812,81812 - Increase During The Year,Tangible Fixed Assets,Assets,9,1,UK,2017,3,Qtr 3,7,Jul,16188,16188,GBP,0,0,Fixed Asset,Fixed Asset,Assets,4,1,16188,16188
31/08/2017,688,Increase During The Year,18,ACME Corp,81812,81812 - Increase During The Year,Tangible Fixed Assets,Assets,9,1,UK,2017,3,Qtr 3,8,Aug,16188,16188,GBP,0,0,Fixed Asset,Fixed Asset,Assets,4,1,16188,16188
31/10/2017,688,Increase During The Year,18,ACME Corp,81812,81812 - Increase During The Year,Tangible Fixed Assets,Assets,9,1,UK,2017,4,Qtr 4,10,Oct,39228,39228,GBP,0,0,Fixed Asset,Fixed Asset,Assets,4,1,39228,39228
31/01/2018,688,Increase During The Year,18,ACME Corp,81812,81812 - Increase During The Year,Tangible Fixed Assets,Assets,9,1,UK,2018,1,Qtr 1,1,Jan,44028,44028,GBP,0,0,Fixed Asset,Fixed Asset,Assets,4,1,44028,44028
31/05/2018,688,Increase During The Year,18,ACME Corp,81812,81812 - Increase During The Year,Tangible Fixed Assets,Assets,9,1,UK,2018,2,Qtr 2,5,May,44028,44028,GBP,0,0,Fixed Asset,Fixed Asset,Assets,4,1,44028,44028
31/07/2018,688,Increase During The Year,18,ACME Corp,81812,81812 - Increase During The Year,Tangible Fixed Assets,Assets,9,1,UK,2018,3,Qtr 3,7,Jul,44028,44028,GBP,0,0,Fixed Asset,Fixed Asset,Assets,4,1,44028,44028
31/08/2018,688,Increase During The Year,18,ACME Corp,81812,81812 - Increase During The Year,Tangible Fixed Assets,Assets,9,1,UK,2018,3,Qtr 3,8,Aug,44028,44028,GBP,0,0,Fixed Asset,Fixed Asset,Assets,4,1,44028,44028
31/10/2018,688,Increase During The Year,18,ACME Corp,81812,81812 - Increase During The Year,Tangible Fixed Assets,Assets,9,1,UK,2018,4,Qtr 4,10,Oct,44028,44028,GBP,0,0,Fixed Asset,Fixed Asset,Assets,4,1,44028,44028
31/01/2019,688,Increase During The Year,18,ACME Corp,81812,81812 - Increase During The Year,Tangible Fixed Assets,Assets,9,1,UK,2019,1,Qtr 1,1,Jan,44028,44028,GBP,0,0,Fixed Asset,Fixed Asset,Assets,4,1,44028,44028
31/05/2019,688,Increase During The Year,18,ACME Corp,81812,81812 - Increase During The Year,Tangible Fixed Assets,Assets,9,1,UK,2019,2,Qtr 2,5,May,44028,44028,GBP,0,0,Fixed Asset,Fixed Asset,Assets,4,1,44028,44028
31/07/2019,688,Increase During The Year,18,ACME Corp,81812,81812 - Increase During The Year,Tangible Fixed Assets,Assets,9,1,UK,2019,3,Qtr 3,7,Jul,44028,44028,GBP,0,0,Fixed Asset,Fixed Asset,Assets,4,1,44028,44028
31/08/2019,688,Increase During The Year,18,ACME Corp,81812,81812 - Increase During The Year,Tangible Fixed Assets,Assets,9,1,UK,2019,3,Qtr 3,8,Aug,44028,44028,GBP,0,0,Fixed Asset,Fixed Asset,Assets,4,1,44028,44028
31/10/2019,688,Increase During The Year,18,ACME Corp,81812,81812 - Increase During The Year,Tangible Fixed Assets,Assets,9,1,UK,2019,4,Qtr 4,10,Oct,44028,44028,GBP,0,0,Fixed Asset,Fixed Asset,Assets,4,1,44028,44028
31/01/2018,428,Increase During The Year,18,ACME Corp,81210,81210 - Increase During The Year,Tangible Fixed Assets,Assets,9,1,UK,2018,1,Qtr 1,1,Jan,40388.712,40388.712,GBP,0,0,Fixed Asset,Fixed Asset,Assets,4,1,40388.712,40388.712
31/05/2018,428,Increase During The Year,18,ACME Corp,81210,81210 - Increase During The Year,Tangible Fixed Assets,Assets,9,1,UK,2018,2,Qtr 2,5,May,167278.312,167278.312,GBP,0,0,Fixed Asset,Fixed Asset,Assets,4,1,167278.312,167278.312
31/07/2018,428,Increase During The Year,18,ACME Corp,81210,81210 - Increase During The Year,Tangible Fixed Assets,Assets,9,1,UK,2018,3,Qtr 3,7,Jul,335922.376,335922.376,GBP,0,0,Fixed Asset,Fixed Asset,Assets,4,1,335922.376,335922.376
31/08/2018,428,Increase During The Year,18,ACME Corp,81210,81210 - Increase During The Year,Tangible Fixed Assets,Assets,9,1,UK,2018,3,Qtr 3,8,Aug,335922.376,335922.376,GBP,0,0,Fixed Asset,Fixed Asset,Assets,4,1,335922.376,335922.376
31/10/2018,428,Increase During The Year,18,ACME Corp,81210,81210 - Increase During The Year,Tangible Fixed Assets,Assets,9,1,UK,2018,4,Qtr 4,10,Oct,355802.376,355802.376,GBP,0,0,Fixed Asset,Fixed Asset,Assets,4,1,355802.376,355802.376
31/01/2019,428,Increase During The Year,18,ACME Corp,81210,81210 - Increase During The Year,Tangible Fixed Assets,Assets,9,1,UK,2019,1,Qtr 1,1,Jan,355802.376,355802.376,GBP,0,0,Fixed Asset,Fixed Asset,Assets,4,1,355802.376,355802.376
31/05/2019,428,Increase During The Year,18,ACME Corp,81210,81210 - Increase During The Year,Tangible Fixed Assets,Assets,9,1,UK,2019,2,Qtr 2,5,May,355802.376,355802.376,GBP,0,0,Fixed Asset,Fixed Asset,Assets,4,1,355802.376,355802.376
31/07/2019,428,Increase During The Year,18,ACME Corp,81210,81210 - Increase During The Year,Tangible Fixed Assets,Assets,9,1,UK,2019,3,Qtr 3,7,Jul,355802.376,355802.376,GBP,0,0,Fixed Asset,Fixed Asset,Assets,4,1,355802.376,355802.376
31/08/2019,428,Increase During The Year,18,ACME Corp,81210,81210 - Increase During The Year,Tangible Fixed Assets,Assets,9,1,UK,2019,3,Qtr 3,8,Aug,355802.376,355802.376,GBP,0,0,Fixed Asset,Fixed Asset,Assets,4,1,355802.376,355802.376
31/10/2019,428,Increase During The Year,18,ACME Corp,81210,81210 - Increase During The Year,Tangible Fixed Assets,Assets,9,1,UK,2019,4,Qtr 4,10,Oct,355802.376,355802.376,GBP,0,0,Fixed Asset,Fixed Asset,Assets,4,1,355802.376,355802.376
31/01/2022,428,Increase During The Year,18,ACME Corp,81210,81210 - Increase During The Year,Tangible Fixed Assets,Assets,9,1,UK,2022,1,Qtr 1,1,Jan,13416,13416,GBP,0,0,Fixed Asset,Fixed Asset,Assets,4,1,13416,13416
31/05/2022,428,Increase During The Year,18,ACME Corp,81210,81210 - Increase During The Year,Tangible Fixed Assets,Assets,9,1,UK,2022,2,Qtr 2,5,May,13416,13416,GBP,0,0,Fixed Asset,Fixed Asset,Assets,4,1,13416,13416
31/07/2022,428,Increase During The Year,18,ACME Corp,81210,81210 - Increase During The Year,Tangible Fixed Assets,Assets,9,1,UK,2022,3,Qtr 3,7,Jul,13416,13416,GBP,0,0,Fixed Asset,Fixed Asset,Assets,4,1,13416,13416
31/08/2022,428,Increase During The Year,18,ACME Corp,81210,81210 - Increase During The Year,Tangible Fixed Assets,Assets,9,1,UK,2022,3,Qtr 3,8,Aug,13416,13416,GBP,0,0,Fixed Asset,Fixed Asset,Assets,4,1,13416,13416
31/10/2022,428,Increase During The Year,18,ACME Corp,81210,81210 - Increase During The Year,Tangible Fixed Assets,Assets,9,1,UK,2022,4,Qtr 4,10,Oct,13416,13416,GBP,0,0,Fixed Asset,Fixed Asset,Assets,4,1,13416,13416
31/01/2023,428,Increase During The Year,18,ACME Corp,81210,81210 - Increase During The Year,Tangible Fixed Assets,Assets,9,1,UK,2023,1,Qtr 1,1,Jan,68871.032,68871.032,GBP,0,0,Fixed Asset,Fixed Asset,Assets,4,1,68871.032,68871.032
31/05/2023,428,Increase During The Year,18,ACME Corp,81210,81210 - Increase During The Year,Tangible Fixed Assets,Assets,9,1,UK,2023,2,Qtr 2,5,May,362398.912,362398.912,GBP,0,0,Fixed Asset,Fixed Asset,Assets,4,1,362398.912,362398.912
31/07/2023,428,Increase During The Year,18,ACME Corp,81210,81210 - Increase During The Year,Tangible Fixed Assets,Assets,9,1,UK,2023,3,Qtr 3,7,Jul,563975.712,563975.712,GBP,0,0,Fixed Asset,Fixed Asset,Assets,4,1,563975.712,563975.712
31/08/2023,428,Increase During The Year,18,ACME Corp,81210,81210 - Increase During The Year,Tangible Fixed Assets,Assets,9,1,UK,2023,3,Qtr 3,8,Aug,563975.712,563975.712,GBP,0,0,Fixed Asset,Fixed Asset,Assets,4,1,563975.712,563975.712
31/10/2023,428,Increase During The Year,18,ACME Corp,81210,81210 - Increase During The Year,Tangible Fixed Assets,Assets,9,1,UK,2023,4,Qtr 4,10,Oct,563975.712,563975.712,GBP,0,0,Fixed Asset,Fixed Asset,Assets,4,1,563975.712,563975.712
31/01/2024,428,Increase During The Year,18,ACME Corp,81210,81210 - Increase During The Year,Tangible Fixed Assets,Assets,9,1,UK,2024,1,Qtr 1,1,Jan,563975.712,563975.712,GBP,0,0,Fixed Asset,Fixed Asset,Assets,4,1,563975.712,563975.712
31/05/2024,428,Increase During The Year,18,ACME Corp,81210,81210 - Increase During The Year,Tangible Fixed Assets,Assets,9,1,UK,2024,2,Qtr 2,5,May,706375.712,706375.712,GBP,0,0,Fixed Asset,Fixed Asset,Assets,4,1,706375.712,706375.712
31/05/2017,563,Increase During The Year,18,ACME Corp,81260,81260 - Increase During The Year,Tangible Fixed Assets,Assets,9,1,UK,2017,2,Qtr 2,5,May,365370.896,365370.896,GBP,0,0,Fixed Asset,Fixed Asset,Assets,4,1,365370.896,365370.896
31/07/2017,563,Increase During The Year,18,ACME Corp,81260,81260 - Increase During The Year,Tangible Fixed Assets,Assets,9,1,UK,2017,3,Qtr 3,7,Jul,466585.616,466585.616,GBP,0,0,Fixed Asset,Fixed Asset,Assets,4,1,466585.616,466585.616
31/08/2017,563,Increase During The Year,18,ACME Corp,81260,81260 - Increase During The Year,Tangible Fixed Assets,Assets,9,1,UK,2017,3,Qtr 3,8,Aug,540153.872,540153.872,GBP,0,0,Fixed Asset,Fixed Asset,Assets,4,1,540153.872,540153.872
31/10/2017,563,Increase During The Year,18,ACME Corp,81260,81260 - Increase During The Year,Tangible Fixed Assets,Assets,9,1,UK,2017,4,Qtr 4,10,Oct,649576.048,649576.048,GBP,0,0,Fixed Asset,Fixed Asset,Assets,4,1,649576.048,649576.048
31/01/2018,563,Increase During The Year,18,ACME Corp,81260,81260 - Increase During The Year,Tangible Fixed Assets,Assets,9,1,UK,2018,1,Qtr 1,1,Jan,1171999.464,1171999.464,GBP,0,0,Fixed Asset,Fixed Asset,Assets,4,1,1171999.464,1171999.464
31/05/2018,563,Increase During The Year,18,ACME Corp,81260,81260 - Increase During The Year,Tangible Fixed Assets,Assets,9,1,UK,2018,2,Qtr 2,5,May,1421880.728,1421880.728,GBP,0,0,Fixed Asset,Fixed Asset,Assets,4,1,1421880.728,1421880.728
31/07/2018,563,Increase During The Year,18,ACME Corp,81260,81260 - Increase During The Year,Tangible Fixed Assets,Assets,9,1,UK,2018,3,Qtr 3,7,Jul,1728101.864,1728101.864,GBP,0,0,Fixed Asset,Fixed Asset,Assets,4,1,1728101.864,1728101.864
31/08/2018,563,Increase During The Year,18,ACME Corp,81260,81260 - Increase During The Year,Tangible Fixed Assets,Assets,9,1,UK,2018,3,Qtr 3,8,Aug,1952169.936,1952169.936,GBP,0,0,Fixed Asset,Fixed Asset,Assets,4,1,1952169.936,1952169.936
31/10/2018,563,Increase During The Year,18,ACME Corp,81260,81260 - Increase During The Year,Tangible Fixed Assets,Assets,9,1,UK,2018,4,Qtr 4,10,Oct,2017842.768,2017842.768,GBP,0,0,Fixed Asset,Fixed Asset,Assets,4,1,2017842.768,2017842.768
31/01/2019,563,Increase During The Year,18,ACME Corp,81260,81260 - Increase During The Year,Tangible Fixed Assets,Assets,9,1,UK,2019,1,Qtr 1,1,Jan,2856718.6,2856718.6,GBP,0,0,Fixed Asset,Fixed Asset,Assets,4,1,2856718.6,2856718.6
31/05/2019,563,Increase During The Year,18,ACME Corp,81260,81260 - Increase During The Year,Tangible Fixed Assets,Assets,9,1,UK,2019,2,Qtr 2,5,May,3230690.976,3230690.976,GBP,0,0,Fixed Asset,Fixed Asset,Assets,4,1,3230690.976,3230690.976
31/07/2019,563,Increase During The Year,18,ACME Corp,81260,81260 - Increase During The Year,Tangible Fixed Assets,Assets,9,1,UK,2019,3,Qtr 3,7,Jul,3514134.176,3514134.176,GBP,0,0,Fixed Asset,Fixed Asset,Assets,4,1,3514134.176,3514134.176
31/08/2019,563,Increase During The Year,18,ACME Corp,81260,81260 - Increase During The Year,Tangible Fixed Assets,Assets,9,1,UK,2019,3,Qtr 3,8,Aug,3644466.976,3644466.976,GBP,0,0,Fixed Asset,Fixed Asset,Assets,4,1,3644466.976,3644466.976
31/10/2019,563,Increase During The Year,18,ACME Corp,81260,81260 - Increase During The Year,Tangible Fixed Assets,Assets,9,1,UK,2019,4,Qtr 4,10,Oct,3751117.536,3751117.536,GBP,0,0,Fixed Asset,Fixed Asset,Assets,4,1,3751117.536,3751117.536
31/05/2020,563,Increase During The Year,18,ACME Corp,81260,81260 - Increase During The Year,Tangible Fixed Assets,Assets,9,1,UK,2020,2,Qtr 2,5,May,282202.768,282202.768,GBP,0,0,Fixed Asset,Fixed Asset,Assets,4,1,282202.768,282202.768
